us_air_carrier_category,year,all_accidents,fatal_accidents,on_board_fatalities,flight_hours,flight_miles,accident_rate_per_100000_flight_hours,fatal_accident_rate_per_100000_flight_hours,accident_rate_per_million_miles_flown,fatal_accident_rate_per_million_miles_flown
Large airlines,1997,43,3,2,"15,061,662","6,339,432,000",0.2855,0.0199,0.0068,0.0005
Large airlines,1998,41,1,0,"15,921,447","6,343,690,000",0.2575,0.0063,0.0065,0.0002
Large airlines,1999,40,2,11,"16,693,365","6,689,327,000",0.2400,0.0120,0.0060,0.0003
Large airlines,2000,49,2,89,"17,478,519","7,152,260,000",0.2800,0.0110,0.0069,0.0003
Large airlines,2001,41,6,525,"17,157,858","6,994,939,000",0.2160,0.0120,0.0053,0.0003
Large airlines,2002,34,0,0,"16,718,781","6,927,954,000",0.2030,0.0000,0.0049,0.0000
Large airlines,2003,51,2,21,"16,887,756","7,015,935,000",0.3020,0.0120,0.0073,0.0003
Large airlines,2004,23,1,13,"18,184,016","7,604,248,000",0.1260,0.0050,0.0030,0.0001
Large airlines,2005,34,3,20,"18,712,191","7,843,717,000",0.1820,0.0160,0.0043,0.0004
Large airlines,2006,26,2,49,"18,647,896","7,851,864,000",0.1390,0.0110,0.0033,0.0003
Large airlines,2007,26,0,0,"19,014,677","8,024,313,000",0.1370,0.0000,0.0032,0.0000
Large airlines,2008,19,0,0,"18,580,166","7,813,371,000",0.1020,0.0000,0.0024,0.0000
Large airlines,2009,26,1,49,"17,182,970","7,248,702,000",0.1510,0.0060,0.0036,0.0001
Large airlines,2010,28,0,0,"17,235,121","7,352,374,000",0.1620,0.0000,0.0038,0.0000
Large airlines,2011,29,0,0,"17,464,623","7,473,520,000",0.1660,0.0000,0.0039,0.0000
Large airlines,2012,23,0,0,"17,271,783","7,443,532,000",0.1330,0.0000,0.0031,0.0000
Large airlines,2013,18,0,0,"17,387,656","7,484,920,149",0.1040,0.0000,0.0024,0.0000
Large airlines,2014,29,0,0,"17,354,308","7,507,487,935",0.1670,0.0000,0.0039,0.0000
Large airlines,2015,27,0,0,"17,519,142","7,628,941,477",0.1540,0.0000,0.0035,0.0000
Large airlines,2016,26,0,0,"17,866,607","7,813,090,948",0.1460,0.0000,0.0033,0.0000
Large airlines,2017,30,0,0,"18,098,154","7,923,668,749",0.1660,0.0000,0.0038,0.0000
Large airlines,2018,28,1,1,"18,731,201","8,207,258,040",0.1490,0.0050,0.0034,0.0001
Large airlines,2019,36,1,1,"19,180,620","8,408,765,893",0.1880,0.0050,0.0043,0.0001
Large airlines,2020,11,0,0,"8,331,981","3,615,928,404",0.1320,0.0000,0.0030,0.0000
Airlines (nonscheduled service),1997,6,1,4,"776,447","357,206,000",0.7728,0.1288,0.0168,0.0028
Airlines (nonscheduled service),1998,9,0,0,"895,108","392,853,000",1.0055,0.0000,0.0229,0.0000
Airlines (nonscheduled service),1999,11,0,0,"861,843","411,987,000",1.2760,0.0000,0.0267,0.0000
Airlines (nonscheduled service),2000,7,1,3,"820,738","371,767,000",0.8530,0.1220,0.0188,0.0027
Airlines (nonscheduled service),2001,5,0,0,"656,333","299,252,000",0.7620,0.0000,0.0167,0.0000
Airlines (nonscheduled service),2002,7,0,0,"571,417","264,547,000",1.2250,0.0000,0.0265,0.0000
Airlines (nonscheduled service),2003,3,0,0,"579,944","264,448,000",0.5170,0.0000,0.0113,0.0000
Airlines (nonscheduled service),2004,7,1,1,"698,487","325,911,000",1.0020,0.1430,0.0215,0.0031
Airlines (nonscheduled service),2005,6,0,0,"677,838","321,926,000",0.8850,0.0000,0.0186,0.0000
Airlines (nonscheduled service),2006,7,0,0,"615,313","287,493,000",1.1380,0.0000,0.0243,0.0000
Airlines (nonscheduled service),2007,2,1,1,"622,645","291,592,000",0.3210,0.1610,0.0069,0.0034
Airlines (nonscheduled service),2008,8,2,1,"546,600","254,917,000",1.4640,0.3660,0.0314,0.0078
Airlines (nonscheduled service),2009,4,1,2,"443,862","216,896,000",0.9010,0.2250,0.0184,0.0046
Airlines (nonscheduled service),2010,3,1,2,"515,865","245,754,000",0.5820,0.1940,0.0122,0.0041
Airlines (nonscheduled service),2011,4,0,0,"498,342","240,037,000",0.8030,0.0000,0.0167,0.0000
Airlines (nonscheduled service),2012,4,0,0,"450,453","216,540,000",0.8880,0.0000,0.0185,0.0000
Airlines (nonscheduled service),2013,4,2,9,"391,985","187,591,009",1.0200,0.5100,0.0213,0.0107
Airlines (nonscheduled service),2014,2,0,0,"388,518","183,461,589",0.5150,0.0000,0.0109,0.0000
Airlines (nonscheduled service),2015,1,0,0,"406,638","193,261,628",0.2460,0.0000,0.0052,0.0000
Airlines (nonscheduled service),2016,4,0,0,"427,450","203,870,258",0.9360,0.0000,0.0196,0.0000
Airlines (nonscheduled service),2017,3,0,0,"483,234","231,303,007",0.6210,0.0000,0.0130,0.0000
Airlines (nonscheduled service),2018,3,0,0,"557,254","266,542,164",0.5380,0.0000,0.0113,0.0000
Airlines (nonscheduled service),2019,4,1,3,"605,927","278,798,852",0.6600,0.1650,0.0143,0.0036
Airlines (nonscheduled service),2020,3,0,0,"566,788","278,618,988",0.5290,0.0000,0.0108,0.0000
Commuter airlines,1997,16,5,46,"982,764","246,029,000",1.6281,0.5088,0.0650,0.0203
Commuter airlines,1998,8,0,0,"353,670","50,773,000",2.2620,0.0000,0.1576,0.0000
Commuter airlines,1999,11,0,0,"861,843","411,987,000",1.2760,0.0000,0.0267,0.0000
Commuter airlines,2000,12,1,5,"369,535","44,943,000",3.2470,0.2710,0.2670,0.0223
Commuter airlines,2001,7,2,13,"300,432","43,099,000",2.3300,0.6660,0.1624,0.0464
Commuter airlines,2002,7,0,0,"273,559","41,633,000",2.5590,0.0000,0.1681,0.0000
Commuter airlines,2003,2,1,2,"319,206","47,404,000",0.6270,0.3130,0.0422,0.0211
Commuter airlines,2004,4,0,0,"302,218","46,809,000",1.3240,0.0000,0.0855,0.0000
Commuter airlines,2005,6,0,0,"299,775","45,721,000",2.0020,0.0000,0.1312,0.0000
Commuter airlines,2006,3,1,2,"301,495","46,503,000",0.9950,0.3320,0.0645,0.0215
Commuter airlines,2007,3,0,0,"291,701","46,049,000",1.0280,0.0000,0.0651,0.0000
Commuter airlines,2008,7,0,0,"296,939","46,758,000",2.3570,0.0000,0.1497,0.0000
Commuter airlines,2009,2,0,0,"309,545","45,335,000",0.6460,0.0000,0.0441,0.0000
Commuter airlines,2010,6,0,0,"314,648","48,001,000",1.9070,0.0000,0.1250,0.0000
Commuter airlines,2011,4,0,0,"325,632","48,728,000",1.2280,0.0000,0.0821,0.0000
Commuter airlines,2012,3,0,0,"322,416","50,313,000",0.9300,0.0000,0.0596,0.0000
Commuter airlines,2013,6,2,5,"325,154","52,478,833",1.8450,0.6150,0.1143,0.0381
Commuter airlines,2014,3,0,0,"335,015","48,600,093",0.8950,0.0000,0.0617,0.0000
Commuter airlines,2015,4,1,1,"359,866","53,808,827",1.1120,0.2780,0.0743,0.0186
Commuter airlines,2016,9,2,6,"376,854","60,231,973",2.3880,0.5310,0.1494,0.0332
Commuter airlines,2017,6,0,0,"392,146","68,094,230",1.5300,0.0000,0.0881,0.0000
Commuter airlines,2018,2,0,0,"421,319","70,816,907",0.4750,0.0000,0.0282,0.0000
Commuter airlines,2019,9,1,2,"416,797","68,088,053",2.1590,0.2400,0.1322,0.0147
Commuter airlines,2020,5,1,5,"224,968","38,297,608",2.2230,0.4450,0.1306,0.0261